ID,Work type,Summary,Description,Parent,Priority

E1,Epic,Global UI Consistency & Footer Updates,"Cross-page spacing, footer and shared components",,High
E2,Epic,Homepage Improvements,"Homepage layout and content fixes",,High
E3,Epic,Recommendations Page,"Recommendations page fixes",,Medium
E4,Epic,Minors Protection,"Minors protection UI fixes",,Low
E5,Epic,Support Contacts,"Contacts page updates",,High
E6,Epic,Self-Exclusion,"Autoexclusion page fixes",,High
E7,Epic,Diagnosis Page,"Diagnosis page improvements",,Medium

T1,Task,Uniform spacing across pages,"Standardize spacing between titles and content",E1,High
S1,Sub-task,Normalize title spacing,"Fix title to intro spacing",T1,Medium
S2,Sub-task,Harmonize section spacing,"Ensure consistent vertical rhythm",T1,Medium
S3,Sub-task,Fix bottom spacing,"Remove extra spacing in footer sections",T1,Low

T2,Task,Update 'Ficou com dúvidas' component,"Update content globally",E1,High
S4,Sub-task,Replace content,"Insert new provided text",T2,High
S5,Sub-task,Ensure consistency,"Apply across all pages",T2,Medium

T3,Task,Footer updates,"Adjust footer labels and icons",E1,Medium
S6,Sub-task,Rename link,"Recomendações → Privacidade",T3,Low
S7,Sub-task,Fix -18 icon,"White text, red background",T3,Low

T4,Task,Homepage typography,"Align title styles",E2,Medium
S8,Sub-task,Set title color,"Make title black",T4,Low
S9,Sub-task,Normalize title size,"Match other pages",T4,Low

T5,Task,Homepage content fixes,"Sync with FIGMA",E2,High
S10,Sub-task,Add video title,"Insert campaign video name",T5,Low
S11,Sub-task,Remove logo,"Remove 'Aposte de forma responsável'",T5,Low
S12,Sub-task,Update main content,"Replace text block",T5,High

T6,Task,Homepage layout fixes,"Spacing and separators",E2,Medium
S13,Sub-task,Reduce spacing,"Fix spacing below subtitle",T6,Low
S14,Sub-task,Add green line,"Insert separator",T6,Low

T7,Task,Homepage missing components,"Add missing UI elements",E2,High
S15,Sub-task,Add selo composto,"Insert component",T7,Medium
S16,Sub-task,Add help box,"Insert 'Ficou com dúvidas'",T7,Medium
S17,Sub-task,Fix download label,"Add correct button text",T7,Low

T8,Task,Recommendations text fixes,"Update content",E3,High
S18,Sub-task,Update intro text,"Match FIGMA",T8,High
S19,Sub-task,Fix subtitle,"Correct heading",T8,Medium

T9,Task,Recommendations cards,"Adjust card content",E3,Low
S20,Sub-task,Fix card title,"Update 6th card",T9,Low

T10,Task,Minors protection UI,"Fix layout",E4,Low
S21,Sub-task,Remove -18 icon,"Remove from subtitle",T10,Low
S22,Sub-task,Normalize cards,"Equal sizes",T10,Medium

T11,Task,Contacts layout fixes,"Adjust header and structure",E5,Medium
S23,Sub-task,Remove phone icon,"From title",T11,Low
S24,Sub-task,Fix green line,"Correct position",T11,Low

T12,Task,Contacts cards update,"Fix icons and add card",E5,High
S25,Sub-task,Update icons,"Replace icons",T12,Medium
S26,Sub-task,Add missing card,"Módulo de Inscrição Pública",T12,High

T13,Task,Contacts content fixes,"Normalize and update content",E5,High
S27,Sub-task,Lowercase dias,"Fix casing",T13,Low
S28,Sub-task,Update Saúde 24,"Replace content",T13,High
S29,Sub-task,Update Jogadores Anónimos,"Replace content",T13,High

T14,Task,Autoexclusion navigation,"Fix anchors and navigation",E6,High
S30,Sub-task,Remove navigation section,"Delete unused section",T14,Medium
S31,Sub-task,Fix anchors,"Ensure working links",T14,High

T15,Task,Autoexclusion layout,"Spacing and separators",E6,High
S32,Sub-task,Reduce spacing,"Tighten layout",T15,Medium
S33,Sub-task,Add green line,"Insert separator",T15,Low

T16,Task,Placard section fixes,"Content and structure",E6,High
S34,Sub-task,Reorder content,"Button first",T16,High
S35,Sub-task,Fix cards formatting,"Remove ':' and 'para'",T16,Medium
S36,Sub-task,Add bullets,"Improve readability",T16,Medium
S37,Sub-task,Add location labels,"LISBOA / PORTO",T16,Low

T17,Task,Autoexclusion content updates,"Update text blocks",E6,High
S38,Sub-task,Update info box,"Replace content",T17,High
S39,Sub-task,Update duration,"Placard rules",T17,Medium

T18,Task,Site/App section fixes,"Adjust structure and content",E6,High
S40,Sub-task,Remove green box,"Delete component",T18,Medium
S41,Sub-task,Apply bold formatting,"Numbers styling",T18,Low
S42,Sub-task,Update full content,"Replace with FIGMA",T18,High

T19,Task,Diagnosis content updates,"Sync with FIGMA",E7,High
S43,Sub-task,Update intro,"Replace text",T19,High
S44,Sub-task,Update self evaluation,"Replace content",T19,High

T20,Task,Diagnosis UX improvements,"Improve interactions",E7,Medium
S45,Sub-task,Add green line,"Insert separator",T20,Low
S46,Sub-task,Add link,"To Recommendations",T20,Medium
S47,Sub-task,Add spacing,"After button",T20,Low
S48,Sub-task,Add back button,"After questionnaire",T20,Medium
S49,Sub-task,Style chart,"Add border color",T20,Low
